Date,DJIA_Close,DJIA_Change,DJIA_pct_Change,NDAQ_Close,NDAQ_Change,NDAQ_pct_Change,BTC_Price,BTC_Change,BTC_pct_Change
9/17/2013,15529.73,34.95,0.225559834,3745.7,27.85,0.007490889,126.9960082,0.8689369,0.688937665
9/18/2013,15676.94,147.21,0.947923757,3783.64,37.94,0.010128948,127.0025277,0.00651949,0.005133618
9/19/2013,15636.55,-40.39,-0.257639565,3789.38,5.74,0.001517058,124.3384861,-2.66404159,-2.097628794
9/20/2013,15451.09,-185.46,-1.186067259,3774.73,-14.65,-0.003866068,122.9406284,-1.39785772,-1.124235757
9/23/2013,15401.38,-49.71,-0.321724875,3765.29,-9.44,-0.002500841,122.661842,-0.46681103,-0.379124613
9/24/2013,15334.59,-66.79,-0.433662438,3768.25,2.96,0.000786128,123.9698117,1.30796969,1.066321578
9/25/2013,15273.26,-61.33,-0.399945483,3761.1,-7.15,-0.001897432,123.4933946,-0.47641709,-0.38430089
9/26/2013,15328.3,55.04,0.360368382,3787.43,26.33,0.007000612,124.9281597,1.4347651,1.161815257
9/27/2013,15258.24,-70.06,-0.457063079,3781.59,-5.84,-0.001541943,126.9030365,1.97487677,1.580809943
9/30/2013,15129.67,-128.57,-0.842626673,3771.48,-10.11,-0.002673479,126.2021752,-0.74138894,-0.584030349
10/1/2013,15191.7,62.03,0.409989114,3817.98,46.5,0.012329377,127.5100471,1.30787192,1.036330727
10/2/2013,15133.14,-58.56,-0.385473647,3815.02,-2.96,-0.000775279,103.8842395,-23.62580757,-18.52858509
10/3/2013,14996.48,-136.66,-0.903051184,3774.34,-40.68,-0.010663116,117.7708817,13.88664213,13.36741954
10/4/2013,15072.58,76.1,0.507452416,3807.75,33.41,0.008851879,122.0062634,4.23538174,3.596289406
10/7/2013,14936.24,-136.34,-0.904556486,3770.38,-37.37,-0.009814195,123.5539993,1.01593795,0.829079503
10/8/2013,14776.53,-159.71,-1.06927848,3694.83,-75.55,-0.020037768,124.2122687,0.65826946,0.532778756
10/9/2013,14802.98,26.45,0.179000076,3677.78,-17.05,-0.004614556,125.9595538,1.74728507,1.406692823
10/10/2013,15126.07,323.09,2.182601071,3760.75,82.97,0.022559805,126.6568122,0.69725838,0.553557359
10/11/2013,15237.11,111.04,0.734096828,3791.87,31.12,0.008274945,127.2251253,0.56831313,0.448703169
10/14/2013,15301.26,64.15,0.421011596,3815.27,23.4,0.006171098,135.4356625,2.63804629,1.986516298
10/15/2013,15168.01,-133.25,-0.870843316,3794.01,-21.26,-0.005572345,143.563539,8.12787645,6.001282305
10/16/2013,15373.83,205.82,1.356934759,3839.43,45.42,0.011971502,137.5894354,-5.97410356,-4.161295829
10/17/2013,15371.65,-2.18,-0.014179941,3863.15,23.72,0.006178,143.9512274,6.36179199,4.623750341
10/18/2013,15399.65,28,0.18215351,3914.28,51.13,0.013235313,152.9649801,9.01375267,6.261671284
10/21/2013,15392.2,-7.45,-0.048377723,3920.05,5.77,0.00147409,180.2428703,13.45524771,8.067293904
10/22/2013,15467.66,75.46,0.490248308,3929.57,9.52,0.00242854,190.9189434,10.67607309,5.923159719
10/23/2013,15413.33,-54.33,-0.351248993,3907.07,-22.5,-0.005725817,204.0111407,13.09219725,6.857463705
10/24/2013,15509.21,95.88,0.622058958,3928.96,21.89,0.005602664,193.8172706,-10.19387004,-4.996722242
10/25/2013,15570.28,61.07,0.393766027,3943.36,14.4,0.003665092,187.1162713,-6.7009993,-3.457379871
10/28/2013,15568.93,-1.35,-0.008670364,3940.13,-3.23,-0.000819098,196.3811418,0.56932388,0.290750521
10/29/2013,15680.35,111.42,0.715656118,3952.34,12.21,0.003098883,204.7015159,8.32037411,4.236849848
10/30/2013,15618.76,-61.59,-0.3927846,3930.62,-21.72,-0.005495479,198.1945304,-6.50698554,-3.178767636
10/31/2013,15545.75,-73.01,-0.467450681,3919.71,-10.91,-0.002775644,203.1348501,4.94031967,2.492661962
11/1/2013,15615.55,69.8,0.448997314,3922.04,2.33,0.000594432,202.0365521,-1.09829801,-0.54067434
11/4/2013,15639.12,23.57,0.150939288,3936.59,14.55,0.003709804,226.784593,14.96174988,7.06333163
11/5/2013,15618.22,-20.9,-0.133639233,3939.86,3.27,0.000830668,242.932833,16.14824001,7.120518989
11/6/2013,15746.88,128.66,0.823781455,3931.95,-7.91,-0.002007686,263.2888024,20.35596936,8.379258211
11/7/2013,15593.98,-152.9,-0.970985998,3857.33,-74.62,-0.018977861,291.0768135,27.78801115,10.55419406
11/8/2013,15761.78,167.8,1.076056273,3919.23,61.9,0.01604737,334.0975163,43.02070275,14.7798453
11/11/2013,15783.1,21.32,0.135263911,3919.79,0.56,0.000142885,344.6266784,20.61287972,6.361728977
11/12/2013,15750.67,-32.43,-0.205472943,3919.92,0.13,3.32E-05,355.0251099,10.39843146,3.017303103
11/13/2013,15821.63,70.96,0.450520518,3965.58,45.66,0.011648197,396.3146176,41.28950775,11.63002464
11/14/2013,15876.22,54.59,0.345033982,3972.74,7.16,0.001805537,415.4557972,19.14117956,4.829793984
11/15/2013,15961.7,85.48,0.538415315,3985.97,13.23,0.003330195,412.0282403,-3.42755693,-0.825011217
11/18/2013,15976.02,14.32,0.089714755,3949.07,-36.9,-0.009257471,678.2609193,194.4671171,40.19628119
11/19/2013,15967.03,-8.99,-0.056271837,3931.55,-17.52,-0.004436488,536.8772788,-141.3836405,-20.8450224
11/20/2013,15900.82,-66.21,-0.414666973,3921.27,-10.28,-0.002614745,599.8304806,62.9532018,11.72580854
11/21/2013,16009.99,109.17,0.686568366,3969.15,47.88,0.01221033,725.2490684,125.4185879,20.90900545
11/22/2013,16064.77,54.78,0.342161363,3991.65,22.5,0.00566872,800.7826778,75.53360933,10.41485093
11/25/2013,16072.54,7.77,0.048366706,3994.57,2.92,0.000731527,818.4843675,10.25522404,1.268851058
11/26/2013,16072.8,0.26,0.001617666,4017.75,23.18,0.005802877,930.693572,112.2092045,13.70938883
11/27/2013,16097.33,24.53,0.152618088,4044.75,27,0.006720179,964.8397988,34.14622685,3.668901116
11/29/2013,16086.41,-10.92,-0.067837337,4059.89,15.14,0.003743124,1133.55742,116.6695085,11.47319259
12/2/2013,16008.77,-77.64,-0.482643424,4045.26,-14.63,-0.003603546,1042.471949,86.96966148,9.101983594
12/3/2013,15914.62,-94.15,-0.588115139,4037.2,-8.06,-0.001992455,1055.920473,13.44852344,1.290060941
12/4/2013,15889.77,-24.85,-0.156145733,4038,0.8,0.000198157,1135.410915,79.49044213,7.528070928
12/5/2013,15821.51,-68.26,-0.429584569,4033.16,-4.84,-0.001198613,1024.445047,-110.9658676,-9.773190138
12/6/2013,16020.2,198.69,1.255821979,4062.52,29.36,0.007279652,818.3291442,-206.1159031,-20.11976178
12/9/2013,16025.53,5.33,0.033270496,4068.75,6.23,0.001533531,899.6971688,113.3212259,14.41056621
12/10/2013,15973.13,-52.4,-0.326978265,4060.49,-8.26,-0.002030108,981.2190993,81.5219305,9.061041129
12/11/2013,15843.53,-129.6,-0.811362582,4003.81,-56.68,-0.013958906,879.512993,-101.7061063,-10.36527992
12/12/2013,15739.43,-104.1,-0.657050544,3998.4,-5.41,-0.001351213,872.4370998,-7.07589318,-0.804524008
12/13/2013,15755.36,15.93,0.101210781,4000.98,2.58,0.000645258,885.4320716,12.99497177,1.489502426
12/16/2013,15884.57,129.21,0.820101857,4029.52,28.54,0.007133252,690.8216634,-169.7293461,-19.72333356
12/17/2013,15875.26,-9.31,-0.058610337,4023.68,-5.84,-0.001449304,674.642755,-16.17890831,-2.341980451
12/18/2013,16167.97,292.71,1.843812322,4070.06,46.38,0.011526762,520.2423164,-154.4004386,-22.88625165
12/19/2013,16179.08,11.11,0.06871611,4058.13,-11.93,-0.002931161,685.104963,164.8626466,31.68958798
12/20/2013,16221.14,42.06,0.259965338,4104.74,46.61,0.011485586,609.9186307,-75.18633231,-10.97442529
12/23/2013,16294.61,73.47,0.452927476,4148.9,44.16,0.010758294,654.9089878,40.99528079,6.677694328
12/24/2013,16357.55,62.94,0.386262697,4155.42,6.52,0.001571501,652.6634945,-2.24549326,-0.34287104
12/26/2013,16479.88,122.33,0.747850381,4167.18,11.76,0.002830039,752.8883357,73.49065828,10.81703113
12/27/2013,16478.41,-1.47,-0.008919968,4156.59,-10.59,-0.002541287,721.1723081,-31.71602751,-4.212580539
12/30/2013,16504.29,25.88,0.157053988,4154.2,-2.39,-0.000574991,736.7228313,8.3732321,1.149617177
12/31/2013,16576.66,72.37,0.438492053,4176.59,22.39,0.005389726,730.7582479,-5.96458344,-0.809610234
1/2/2014,16441.35,-135.31,-0.816268175,4143.07,-33.52,-0.008025686,784.1290351,29.61519662,3.92507004
1/3/2014,16469.99,28.64,0.174194941,4131.91,-11.16,-0.002693655,808.1743775,24.04534243,3.066503261
1/6/2014,16425.1,-44.89,-0.272556328,4113.68,-18.23,-0.004412003,919.1554033,13.88961301,1.534313255
1/7/2014,16530.94,105.84,0.644379638,4153.18,39.5,0.009602108,783.0927575,-136.0626459,-14.80300778
1/8/2014,16462.74,-68.2,-0.412559721,4165.61,12.43,0.002992887,824.5149613,41.42220383,5.289565436
1/9/2014,16444.76,-17.98,-0.109216327,4156.19,-9.42,-0.002261373,825.9612489,1.44628758,0.175410714
1/10/2014,16437.05,-7.71,-0.046884235,4174.66,18.47,0.004443974,853.0337151,27.07246622,3.277692054
1/13/2014,16257.94,-179.11,-1.089672417,4113.3,-61.36,-0.014698203,824.2439813,-18.83800367,-2.234421326
1/14/2014,16373.86,115.92,0.713005461,4183.02,69.72,0.016949894,816.4660843,-7.77789702,-0.943640135
1/15/2014,16481.94,108.08,0.660076488,4214.88,31.86,0.007616507,841.7510641,25.28497985,3.09688061
1/16/2014,16417.01,-64.93,-0.393946344,4218.69,3.81,0.00090394,813.9800748,-27.77098936,-3.299192664
1/17/2014,16458.56,41.55,0.253091154,4197.58,-21.11,-0.005003923,798.1451787,-15.8348961,-1.94536655
1/21/2014,16414.44,-44.12,-0.268067194,4225.76,28.18,0.006713392,824.6547561,-2.02410579,-0.244847895
1/22/2014,16373.34,-41.1,-0.250389291,4243,17.24,0.00407974,818.8438967,-5.81085949,-0.704641481
1/23/2014,16197.35,-175.99,-1.074857054,4218.87,-24.13,-0.005687014,811.5049042,-7.33899246,-0.896262705
1/24/2014,15879.11,-318.24,-1.964765841,4128.17,-90.7,-0.021498648,779.1151439,-32.38976026,-3.991320335
1/27/2014,15837.88,-41.23,-0.259649313,4083.61,-44.56,-0.010794129,750.9463413,-63.94654817,-7.847233544
