Date,BTC Price
5/26/2014,584.961755
5/27/2014,575.0347331
5/28/2014,579.397132
5/29/2014,570.7192449
5/30/2014,620.8884461
5/31/2014,626.3698084
6/1/2014,627.6464704
6/2/2014,665.0160153
6/3/2014,672.8058082
6/4/2014,641.7670055
6/5/2014,661.0711471
6/6/2014,649.0739931
6/7/2014,657.253674
6/8/2014,658.5956096
6/9/2014,649.9137566
6/10/2014,654.196617
6/11/2014,631.9993177
6/12/2014,588.7555604
6/13/2014,599.619914
6/14/2014,569.346888
6/15/2014,592.6269062
6/16/2014,589.7897586
6/17/2014,611.3298629
6/18/2014,607.7115565
6/19/2014,596.1796582
6/20/2014,590.9810561
6/21/2014,594.2995463
6/22/2014,602.334144
6/23/2014,590.3282495
6/24/2014,577.5813467
6/25/2014,564.5086645
6/26/2014,581.5138578
6/27/2014,602.0678607
6/28/2014,594.5391328
6/29/2014,601.1227501
6/30/2014,640.6635391
7/1/2014,640.6619539
7/2/2014,653.3569383
7/3/2014,644.6676758
7/4/2014,630.8686659
7/5/2014,631.6766999
7/6/2014,635.0788032
7/7/2014,621.9178602
7/8/2014,624.8488204
7/9/2014,623.8488422
7/10/2014,616.3704708
7/11/2014,635.6484709
7/12/2014,636.9021038
7/13/2014,630.0701721
7/14/2014,619.97171
7/15/2014,621.8008621
7/16/2014,616.9473378
7/17/2014,623.0160271
7/18/2014,631.4140496
7/19/2014,629.030909
7/20/2014,625.1216365
7/21/2014,621.4618834
7/22/2014,619.1702456
7/23/2014,620.7590554
7/24/2014,603.4349716
7/25/2014,601.8771767
7/26/2014,594.6678331
7/27/2014,591.3629838
7/28/2014,585.0116171
7/29/2014,584.666745
7/30/2014,565.246678
7/31/2014,580.8213119
8/1/2014,596.1039271
8/2/2014,588.8076281
8/3/2014,586.774044
8/4/2014,587.8741748
8/5/2014,582.6362202
8/6/2014,581.6666962
8/7/2014,586.6922043
8/8/2014,590.1352858
8/9/2014,589.362967
8/10/2014,589.8554751
8/11/2014,573.1693746
8/12/2014,569.0667196
8/13/2014,547.8964792
8/14/2014,509.6700893
8/15/2014,497.7956817
8/16/2014,520.5179774
8/17/2014,497.4577716
8/18/2014,469.3022513
8/19/2014,488.7001276
8/20/2014,512.8781002
8/21/2014,518.2879657
8/22/2014,514.6197374
8/23/2014,499.0243788
8/24/2014,510.134054
8/25/2014,502.4603562
8/26/2014,513.3444388
8/27/2014,509.9315866
8/28/2014,505.9745767
8/29/2014,508.4683087
8/30/2014,500.0227832
8/31/2014,478.3638454
9/1/2014,473.5472647
9/2/2014,475.2203322
9/3/2014,474.6862847
9/4/2014,489.2084044
9/5/2014,480.5832247
9/6/2014,481.4187019
9/7/2014,478.1394003
9/8/2014,470.4733095
9/9/2014,473.3723556
9/10/2014,477.6585725
9/11/2014,476.9662833
