Date, Close,NDAQ_Change,NDAQ_pct_Change
2017-12-13,6875.8,13.48,0.00196435
2017-12-14,6856.53,-19.27,-0.002802583
2017-12-15,6936.58,80.05,0.011675002
2017-12-18,6994.76,58.18,0.008387419
2017-12-19,6963.85,-30.91,-0.004419022
2017-12-20,6960.96,-2.89,-0.000415
2017-12-21,6965.36,4.4,0.000632097
2017-12-22,6959.96,-5.4,-0.000775265
2017-12-26,6936.25,-23.71,-0.003406629
2017-12-27,6939.34,3.09,0.000445486
2017-12-28,6950.16,10.82,0.001559226
2017-12-29,6903.39,-46.77,-0.006729341
2018-01-02,7006.9,103.51,0.014994083
2018-01-03,7065.53,58.63,0.008367466
2018-01-04,7077.91,12.38,0.001752169
2018-01-05,7136.56,58.65,0.008286344
2018-01-08,7157.39,20.83,0.002918773
2018-01-09,7163.58,6.19,0.00086484
2018-01-10,7153.57,-10.01,-0.001397346
2018-01-11,7211.78,58.21,0.008137196
2018-01-12,7261.06,49.28,0.006833264
2018-01-16,7223.69,-37.37,-0.005146631
2018-01-17,7298.28,74.59,0.010325748
2018-01-18,7296.05,-2.23,-0.000305551
2018-01-19,7336.38,40.33,0.005527649
2018-01-22,7408.03,71.65,0.009766397
2018-01-23,7460.29,52.26,0.007054507
2018-01-24,7415.06,-45.23,-0.006062767
2018-01-25,7411.16,-3.9,-0.000525957
2018-01-26,7505.77,94.61,0.012765883
2018-01-29,7466.51,-39.26,-0.005230643
2018-01-30,7402.48,-64.03,-0.008575626
2018-01-31,7411.48,9,0.001215809
2018-02-01,7385.86,-25.62,-0.003456799
2018-02-02,7240.95,-144.91,-0.019619922
2018-02-05,6967.53,-273.42,-0.037760239
2018-02-06,7115.88,148.35,0.02129162
2018-02-07,7051.98,-63.9,-0.008979915
2018-02-08,6777.16,-274.82,-0.038970615
2018-02-09,6874.49,97.33,0.014361473
2018-02-12,6981.96,107.47,0.01563316
2018-02-13,7013.51,31.55,0.004518788
2018-02-14,7143.62,130.11,0.018551339
2018-02-15,7256.43,112.81,0.015791713
2018-02-16,7239.47,-16.96,-0.002337237
2018-02-20,7234.31,-5.16,-0.000712759
2018-02-21,7218.23,-16.08,-0.002222741
2018-02-22,7210.09,-8.14,-0.0011277
2018-02-23,7337.39,127.3,0.017655813
2018-02-26,7421.46,84.07,0.011457753
2018-02-27,7330.35,-91.11,-0.01227656
2018-02-28,7273.01,-57.34,-0.007822273
2018-03-01,7180.56,-92.45,-0.012711381
2018-03-02,7257.87,77.31,0.01076657
2018-03-05,7330.7,72.83,0.010034624
2018-03-06,7372.01,41.31,0.005635205
2018-03-07,7396.65,24.64,0.003342372
2018-03-08,7427.95,31.3,0.004231645
2018-03-09,7560.81,132.86,0.017886496
2018-03-12,7588.32,27.51,0.003638499
2018-03-13,7511.01,-77.31,-0.010188026
2018-03-14,7496.81,-14.2,-0.001890558
2018-03-15,7481.74,-15.07,-0.002010188
2018-03-16,7481.99,0.25,3.34147E-05
2018-03-19,7344.24,-137.75,-0.018410877
2018-03-20,7364.3,20.06,0.002731392
2018-03-21,7345.29,-19.01,-0.002581372
2018-03-22,7166.68,-178.61,-0.024316263
2018-03-23,6992.67,-174.01,-0.02428042
2018-03-26,7220.54,227.87,0.03258698
2018-03-27,7008.81,-211.73,-0.029323292
2018-03-28,6949.23,-59.58,-0.00850073
2018-03-29,7063.44,114.21,0.016434914
2018-04-02,6870.12,-193.32,-0.027369101
2018-04-03,6941.28,71.16,0.010357898
2018-04-04,7042.11,100.83,0.014526139
2018-04-05,7076.55,34.44,0.00489058
2018-04-06,6915.11,-161.44,-0.022813377
2018-04-09,6950.34,35.23,0.005094641
2018-04-10,7094.3,143.96,0.020712656
2018-04-11,7069.03,-25.27,-0.003562015
2018-04-12,7140.25,71.22,0.010074932
2018-04-13,7106.65,-33.6,-0.004705718
2018-04-16,7156.28,49.63,0.0069836
