Date, DJIA_Close,DJIA_Change,DJIA_pct_Change, Close,NDAQ_Change,NDAQ_pct_Change
2018-03-22,23957.89,-724.42,-2.934976507,7166.68,-178.61,-0.024316263
2018-03-23,23533.2,-424.69,-1.772651932,6992.67,-174.01,-0.02428042
2018-03-26,24202.6,669.4,2.844492037,7220.54,227.87,0.03258698
2018-03-27,23857.71,-344.89,-1.425012189,7008.81,-211.73,-0.029323292
2018-03-28,23848.42,-9.29,-0.038939194,6949.23,-59.58,-0.00850073
2018-03-29,24103.11,254.69,1.067953349,7063.44,114.21,0.016434914
2018-04-02,23644.19,-458.92,-1.903986664,6870.12,-193.32,-0.027369101
2018-04-03,24033.36,389.17,1.645943464,6941.28,71.16,0.010357898
2018-04-04,24264.3,230.94,0.960914329,7042.11,100.83,0.014526139
2018-04-05,24505.22,240.92,0.992899033,7076.55,34.44,0.00489058
2018-04-06,23932.76,-572.46,-2.336073702,6915.11,-161.44,-0.022813377
2018-04-09,23979.1,46.34,0.193625808,6950.34,35.23,0.005094641
2018-04-10,24408,428.9,1.788640941,7094.3,143.96,0.020712656
2018-04-11,24189.45,-218.55,-0.895403147,7069.03,-25.27,-0.003562015
2018-04-12,24483.05,293.6,1.213752276,7140.25,71.22,0.010074932
2018-04-13,24360.14,-122.91,-0.502020786,7106.65,-33.6,-0.004705718
2018-04-16,24573.04,212.9,0.873968705,7156.28,49.63,0.0069836
2018-04-17,24786.63,213.59,0.869204624,7281.1,124.82,0.017442023
2018-04-18,24748.07,-38.56,-0.15556774,7295.24,14.14,0.001942014
2018-04-19,24664.89,-83.18,-0.336107018,7238.06,-57.18,-0.007837988
2018-04-20,24462.94,-201.95,-0.81877519,7146.13,-91.93,-0.012700917
2018-04-23,24448.69,-14.25,-0.058251379,7128.6,-17.53,-0.002453076
2018-04-24,24024.13,-424.56,-1.736534759,7007.35,-121.25,-0.01700895
2018-04-25,24083.83,59.7,0.248500154,7003.74,-3.61,-0.000515173
2018-04-26,24322.34,238.51,0.990332518,7118.68,114.94,0.016411232
2018-04-27,24311.19,-11.15,-0.045842629,7119.8,1.12,0.000157333
2018-04-30,24163.15,-148.04,-0.608937695,7066.27,-53.53,-0.00751847
2018-05-01,24099.05,-64.1,-0.265279982,7130.7,64.43,0.009117965
2018-05-02,23924.98,-174.07,-0.722310631,7100.9,-29.8,-0.004179113
2018-05-03,23930.15,5.17,0.021609213,7088.15,-12.75,-0.001795547
2018-05-04,24262.51,332.36,1.38887554,7209.62,121.47,0.017137053
2018-05-07,24357.32,94.81,0.390767484,7265.21,55.59,0.007710531
2018-05-08,24360.21,2.89,0.011865016,7266.9,1.69,0.000232615
