date,TEU
2013-09-17 00:00:00,38.21141469
2013-09-18 00:00:00,71.15228943
2013-09-19 00:00:00,48.75249461
2013-09-20 00:00:00,67.19938446
2013-09-21 00:00:00,36.8937797
2013-09-22 00:00:00,84.32863933
2013-09-23 00:00:00,106.7284341
2013-09-24 00:00:00,114.6342441
2013-09-25 00:00:00,137.0340389
2013-09-26 00:00:00,81.69336935
2013-09-27 00:00:00,60.61120952
2013-09-28 00:00:00,43.48195465
2013-09-29 00:00:00,43.48195465
2013-09-30 00:00:00,167.3396437
2013-10-01 00:00:00,152.8456588
2013-10-02 00:00:00,102.7755292
2013-10-03 00:00:00,129.128229
2013-10-04 00:00:00,137.0340389
2013-10-05 00:00:00,42.16431966
2013-10-06 00:00:00,38.21141469
2013-10-07 00:00:00,111.9989741
2013-10-08 00:00:00,104.0931642
2013-10-09 00:00:00,101.4578942
2013-10-10 00:00:00,144.9398488
2013-10-11 00:00:00,89.59917928
2013-10-12 00:00:00,54.02303457
2013-10-13 00:00:00,48.75249461
2013-10-14 00:00:00,97.50498922
2013-10-15 00:00:00,96.18735423
2013-10-16 00:00:00,226.6332182
2013-10-17 00:00:00,295.1502376
2013-10-18 00:00:00,134.3987689
2013-10-19 00:00:00,111.9989741
2013-10-20 00:00:00,36.8937797
2013-10-21 00:00:00,101.4578942
2013-10-22 00:00:00,75.1051944
2013-10-23 00:00:00,94.86971924
2013-10-24 00:00:00,75.1051944
2013-10-25 00:00:00,51.38776459
2013-10-26 00:00:00,23.71742981
2013-10-27 00:00:00,27.67033478
2013-10-28 00:00:00,38.21141469
2013-10-29 00:00:00,54.02303457
2013-10-30 00:00:00,96.18735423
2013-10-31 00:00:00,44.79958964
2013-11-01 00:00:00,39.52904968
2013-11-02 00:00:00,27.67033478
2013-11-03 00:00:00,25.0350648
2013-11-04 00:00:00,64.56411448
2013-11-05 00:00:00,40.84668467
2013-11-06 00:00:00,76.42282939
2013-11-07 00:00:00,65.88174947
2013-11-08 00:00:00,85.64627431
2013-11-09 00:00:00,32.94087474
2013-11-10 00:00:00,36.8937797
2013-11-11 00:00:00,59.29357453
2013-11-12 00:00:00,80.37573436
2013-11-13 00:00:00,102.7755292
2013-11-14 00:00:00,96.18735423
2013-11-15 00:00:00,51.38776459
2013-11-16 00:00:00,48.75249461
2013-11-17 00:00:00,43.48195465
2013-11-18 00:00:00,69.83465444
2013-11-19 00:00:00,63.24647949
2013-11-20 00:00:00,88.28154429
2013-11-21 00:00:00,83.01100434
2013-11-22 00:00:00,56.65830455
2013-11-23 00:00:00,35.57614472
2013-11-24 00:00:00,28.98796977
2013-11-25 00:00:00,71.15228943
2013-11-26 00:00:00,57.97593954
2013-11-27 00:00:00,52.70539958
2013-11-28 00:00:00,21.08215983
2013-11-29 00:00:00,48.75249461
2013-11-30 00:00:00,25.0350648
2013-12-01 00:00:00,25.0350648
2013-12-02 00:00:00,59.29357453
2013-12-03 00:00:00,43.48195465
2013-12-04 00:00:00,122.540054
2013-12-05 00:00:00,42.16431966
2013-12-06 00:00:00,55.34066956
2013-12-07 00:00:00,14.49398488
2013-12-08 00:00:00,32.94087474
2013-12-09 00:00:00,83.01100434
2013-12-10 00:00:00,57.97593954
2013-12-11 00:00:00,52.70539958
2013-12-12 00:00:00,55.34066956
2013-12-13 00:00:00,51.38776459
2013-12-14 00:00:00,22.39979482
2013-12-15 00:00:00,14.49398488
2013-12-16 00:00:00,39.52904968
2013-12-17 00:00:00,40.84668467
2013-12-18 00:00:00,68.51701945
2013-12-19 00:00:00,36.8937797
2013-12-20 00:00:00,47.43485962
2013-12-21 00:00:00,15.81161987
2013-12-22 00:00:00,14.49398488
2013-12-23 00:00:00,40.84668467
2013-12-24 00:00:00,28.98796977
2013-12-25 00:00:00,43.48195465
2013-12-26 00:00:00,28.98796977
2013-12-27 00:00:00,23.71742981
2013-12-28 00:00:00,15.81161987
